Day,Temperature (°C),Rainfall (mm),Humidity (%)
650,17.0,32.5,25
651,-1.2,43.5,71
652,25.1,24.9,47
653,11.3,6.5,77
654,9.8,28.5,55
655,19.9,11.0,62
656,12.3,47.5,97
657,16.4,10.6,69
658,-4.6,3.7,85
659,33.7,35.0,82
660,0.1,4.0,28
661,21.8,7.6,74
662,8.3,42.5,92
663,24.0,30.7,66
664,22.8,23.0,23
665,32.6,33.4,65
666,21.2,24.4,63
667,33.2,39.0,77
668,12.2,4.7,93
669,20.9,2.4,86
670,-3.3,33.4,43
671,12.9,4.8,61
672,17.1,27.9,98
673,30.5,11.6,78
674,25.1,37.8,22
675,0.2,25.4,97
676,2.3,10.2,37
677,-4.1,13.3,20
678,27.9,40.1,55
679,0.4,42.3,69
680,27.9,30.9,22
681,16.9,47.9,93
682,9.6,48.4,66
683,29.8,47.6,88
684,-0.3,11.6,69
685,27.6,14.8,67
686,20.2,23.4,55
687,23.2,12.3,73
688,32.0,22.0,63
689,15.3,48.4,97
690,18.5,18.9,39
691,-1.6,15.9,65
692,34.7,24.1,65
693,8.9,48.2,45
694,0.5,14.5,86
695,17.8,21.6,71
696,-2.2,26.8,95
697,3.5,20.2,55
698,-3.7,18.8,32
699,18.9,4.2,54
700,8.2,1.5,53
701,33.7,39.3,54
702,0.7,30.9,49
703,-1.9,2.0,73
704,23.2,0.2,88
705,23.3,14.3,34
706,23.0,6.5,52
707,12.8,49.3,89
708,30.4,11.7,77
709,14.7,19.3,64
710,-3.0,42.9,34
711,29.9,17.9,51
712,26.0,37.9,26
713,5.3,5.5,92
714,17.9,42.2,94
715,15.2,14.0,62
716,18.4,44.2,79
717,28.9,8.8,41
718,9.8,44.0,39
719,19.7,11.4,38
720,18.4,41.2,63
721,5.2,45.8,75
722,10.8,42.1,99
723,6.0,2.6,84
724,11.2,24.8,85
725,10.0,35.1,72
726,24.6,34.7,52
727,35.0,14.7,65
728,11.9,23.3,52
729,30.8,32.2,85
730,-0.0,36.0,61
731,23.6,19.2,57
732,22.7,30.7,77
733,-3.3,20.1,48
734,22.3,29.1,64
735,3.5,5.6,20
736,4.0,34.4,98
737,32.2,42.3,43
738,-2.9,42.5,68
739,25.4,11.9,23
740,33.5,25.4,59
741,12.6,49.0,69
742,8.1,6.9,84
743,-4.3,48.8,51
744,14.6,27.1,25
745,0.1,39.5,86
746,28.6,10.6,23
747,1.6,38.6,60
748,24.9,16.0,92
749,16.3,33.1,31
750,-0.4,12.9,76
751,5.4,3.3,99
752,2.0,3.1,20
753,21.7,0.2,57
754,-3.4,49.2,71
755,14.0,21.7,71
756,1.6,21.0,93
757,32.5,21.3,25
758,9.3,31.2,71
759,22.3,17.9,33
760,8.5,35.9,23
761,3.0,27.0,71
762,-2.2,20.1,45
763,19.0,14.8,35
764,0.6,43.9,38
765,13.2,1.9,80
766,6.6,14.5,74
767,3.8,42.5,95
768,-2.9,26.4,91
769,26.8,45.7,34
770,18.7,17.2,47
771,6.1,46.0,84
772,17.5,4.0,93
773,17.5,43.2,71
774,12.3,10.3,40
775,-4.7,28.4,52
776,33.6,2.5,43
777,18.9,42.9,76
778,34.6,29.9,68
779,1.3,17.0,87
780,19.3,18.4,93
781,19.7,23.8,41
782,20.8,30.1,56
783,4.8,47.0,41
784,2.5,45.7,59
785,-1.7,29.2,21
786,13.9,18.1,88
787,10.4,8.0,61
788,-1.3,0.7,61
789,12.8,35.6,56
790,5.9,43.3,73
791,20.1,11.4,92
792,31.1,16.5,24
793,19.5,12.2,86
794,32.3,10.9,36
795,10.0,9.5,25
796,21.1,39.8,23
797,19.3,3.0,35
798,28.5,18.4,53
799,22.0,42.5,58
800,27.9,42.0,36
801,21.0,3.0,55
802,8.0,29.0,35
803,16.4,1.3,79
804,18.9,13.5,80
805,21.5,21.9,47
806,9.6,43.8,78
807,21.0,27.4,37
808,14.2,43.8,37
809,30.2,46.3,96
810,7.7,19.6,69
811,7.4,6.3,91
812,12.0,36.6,49
813,14.8,14.9,46
814,25.8,9.1,23
815,8.7,11.1,98
816,8.2,24.2,51
817,-0.3,37.4,44
818,34.3,22.6,98
819,4.8,35.4,96
820,27.8,40.8,96
821,7.3,44.0,77
822,2.9,24.6,33
823,31.5,45.9,53
824,-0.6,18.8,90
825,1.2,29.4,40
826,10.9,18.6,79
827,12.3,26.1,48
828,18.1,36.7,30
829,17.1,13.6,69
830,24.8,40.2,94
831,24.7,48.5,54
832,21.9,0.9,66
833,14.5,10.6,83
834,28.0,15.7,38
835,18.2,1.3,54
836,4.1,3.1,22
837,-3.3,17.4,88
838,20.7,41.4,38
839,-2.9,48.0,26
840,14.6,33.0,42
841,20.4,15.7,82
842,29.6,49.2,74
843,20.9,13.9,71
844,16.1,6.9,83
845,13.0,30.7,57
846,2.7,24.5,96
847,19.6,48.2,47
848,-1.2,34.2,36
849,2.5,16.6,35
850,25.4,12.8,76
851,17.1,40.6,38
852,-3.6,12.5,34
853,27.7,34.7,58
854,7.3,27.4,56
855,18.9,6.6,56
856,19.1,30.7,23
857,5.8,3.8,79
858,13.4,23.9,71
859,7.1,23.0,93
860,22.2,32.1,71
861,7.5,13.5,60
862,29.9,39.4,29
863,26.8,6.1,51
864,25.3,20.8,37
865,33.8,5.8,41
866,14.3,9.3,42
867,22.1,20.1,62
868,14.9,49.5,30
869,32.3,18.4,37
870,16.2,4.3,64
871,25.5,32.1,31
872,30.7,9.6,33
873,25.7,15.1,20
874,21.7,33.2,72
875,9.4,18.0,89
876,32.5,34.3,40
877,24.7,13.8,91
878,9.7,15.2,64
879,0.1,3.6,72
880,0.3,44.7,75
881,15.9,36.7,48
882,11.5,28.6,79
883,24.7,1.3,53
884,13.5,14.1,52
885,34.8,28.4,32
886,-3.1,0.7,45
887,13.5,31.4,95
888,6.9,18.0,58
889,30.1,19.6,70
890,23.5,7.1,86
891,15.9,14.9,21
892,25.3,36.2,76
893,-4.5,39.3,49
894,29.9,33.3,36
895,3.1,31.7,45
896,-3.4,47.5,92
897,4.3,19.1,43
898,32.4,37.1,29
899,24.0,42.3,22
900,-0.1,47.3,84
901,21.4,16.4,40
902,10.2,33.3,32
903,6.2,4.0,39
904,28.9,41.1,33
905,4.8,10.5,90
906,28.3,19.4,61
907,1.8,27.4,20
908,6.0,42.3,91
909,0.7,23.9,91
910,9.8,17.5,27
911,15.8,40.0,63
912,17.3,36.0,21
913,13.5,38.5,68
914,20.2,45.8,81
915,2.1,6.0,95
916,5.2,48.5,55
917,31.9,10.6,65
918,-1.7,7.1,100
919,5.2,18.8,78
920,29.5,34.1,44
921,21.1,33.1,59
922,20.1,24.2,39
923,11.5,22.2,38
924,0.5,44.8,34
925,1.2,21.8,57
926,-2.1,15.1,30
927,28.9,35.5,98
928,-0.8,12.5,72
929,12.2,25.9,40
930,26.9,41.5,24
931,30.1,0.8,36
932,13.1,20.1,98
933,12.3,29.3,53
934,18.4,25.0,74
935,12.0,8.4,35
936,5.6,17.8,42
937,26.6,23.4,92
938,7.3,35.4,50
939,32.6,9.6,53
940,32.9,13.9,24
941,-2.2,29.3,23
942,20.0,27.3,95
943,17.9,32.4,54
944,-1.9,16.4,70
945,-1.9,19.9,85
946,32.6,28.7,61
947,3.3,25.5,85
948,14.2,45.6,40
949,1.6,32.0,57
950,16.1,21.8,65
951,20.6,36.3,94
952,-0.6,9.8,66
953,1.0,10.8,48
954,14.7,0.0,38
955,33.2,22.5,92
956,22.3,29.3,76
957,31.5,0.8,89
958,10.0,17.7,37
959,17.5,8.4,49
960,30.7,15.1,56
961,25.6,32.3,98
962,18.0,32.6,73
963,23.5,0.4,58
964,4.8,14.7,55
965,21.3,20.8,65
966,-5.0,37.3,78
967,-2.2,5.2,53
968,29.1,16.8,93
969,24.8,6.4,67
970,14.5,9.3,21
971,10.9,5.0,71
972,1.3,12.1,96
973,23.1,30.2,46
974,17.4,45.1,20
975,27.7,18.9,60
976,2.4,21.1,61
977,26.2,18.1,90
978,7.6,16.2,70
979,28.1,16.7,32
980,3.3,18.7,20
981,17.4,32.8,80
982,29.3,12.4,21
983,12.4,47.0,35
984,7.8,5.2,69
985,-2.8,43.5,87
986,0.2,25.8,23
987,35.0,13.8,57
988,20.1,35.7,90
989,22.2,14.3,41
990,0.4,15.0,28
991,1.1,27.7,49
992,-0.4,10.3,58
993,12.7,27.0,35
994,16.7,14.0,83
995,24.0,6.1,45
996,22.5,2.8,60
997,5.0,17.3,40
998,23.2,32.2,30
999,14.5,24.3,81
1000,8.7,8.9,71
1001,29.3,30.7,96
1002,1.0,16.6,54
1003,-4.5,29.3,35
1004,2.7,21.5,93
1005,18.4,36.5,44
1006,32.9,30.6,22
1007,26.0,43.5,74
1008,20.0,23.9,89
1009,27.9,9.4,32
1010,10.2,15.8,87
1011,10.5,16.9,47
1012,-1.8,38.1,93
1013,20.5,17.1,35
1014,-4.4,49.6,82
1015,19.1,13.5,65
1016,12.7,0.8,58
1017,-3.0,39.8,36
1018,9.3,5.6,58
1019,24.1,49.8,72
1020,4.4,36.0,38
1021,32.5,11.0,25
1022,-4.7,34.0,21
1023,28.0,23.8,79
1024,-4.4,43.0,84
1025,8.6,8.5,90
1026,16.3,39.9,59
1027,1.1,18.8,31
1028,18.0,48.8,22
1029,4.2,18.7,53
1030,29.7,33.1,69
1031,-0.2,6.9,99
1032,-3.2,3.4,61
1033,26.1,37.7,68
1034,3.3,12.1,57
1035,-3.9,7.4,47
1036,-1.0,45.4,46
1037,13.2,41.7,47
1038,15.0,1.8,79
1039,26.7,33.7,94
1040,16.2,7.9,41
1041,31.4,24.2,83
1042,9.1,20.8,100
1043,34.6,35.6,82
1044,30.1,42.5,22
1045,-0.9,6.9,77
1046,21.4,47.0,22
1047,22.0,3.1,33
1048,29.9,2.2,23
1049,30.1,29.3,64
1050,8.5,11.7,37
1051,-1.6,24.6,99
1052,0.5,8.1,28
1053,9.6,45.3,82
1054,19.6,26.3,60
1055,24.6,15.3,91
1056,-4.2,39.5,21
1057,-3.3,4.9,67
1058,10.0,16.7,43
1059,1.4,12.2,20
1060,13.6,3.6,93
1061,20.1,36.1,76
1062,20.2,10.8,58
1063,4.4,40.4,66
1064,22.1,46.9,91
1065,24.2,21.6,35
1066,11.3,17.6,35
1067,5.8,20.8,97
1068,-1.0,34.4,34
1069,23.3,41.5,88
1070,25.5,35.8,82
1071,14.3,4.0,63
1072,8.6,45.6,74
1073,27.3,7.9,72
1074,8.1,23.0,40
1075,24.1,35.0,85
1076,19.2,6.0,55
1077,5.4,48.5,82
1078,28.3,34.1,30
1079,0.1,9.7,89
1080,5.0,28.8,63
1081,8.2,12.2,96
1082,1.2,13.1,92
1083,2.8,41.5,70
1084,22.2,21.8,22
1085,13.1,40.4,80
1086,6.1,41.4,75
1087,-4.9,40.7,91
1088,10.0,46.2,66
1089,15.6,23.9,29
1090,16.7,40.8,72
1091,17.2,9.4,44
1092,25.9,9.0,99
1093,6.6,27.2,45
1094,22.0,27.3,60
1095,28.7,20.4,57
1096,11.4,37.5,82
1097,8.3,35.7,100
1098,-1.3,22.9,90
1099,11.8,15.2,90
1100,31.9,12.0,73
1101,23.0,38.4,58
1102,3.7,3.6,79
1103,23.1,32.2,90
1104,14.0,34.5,91
1105,-0.2,1.4,51
1106,29.0,1.9,98
1107,34.6,15.5,35
1108,14.7,2.8,64
1109,8.8,39.6,84
1110,16.0,24.8,51
1111,30.2,32.3,37
1112,25.6,3.1,74
1113,-4.8,39.2,75
1114,29.4,18.2,49
1115,12.6,19.4,96
1116,23.6,39.1,20
1117,-4.5,29.8,70
1118,8.3,25.3,48
1119,-0.5,24.5,74
1120,-1.1,17.1,76
1121,10.7,33.2,100
1122,6.0,5.3,29
1123,7.1,14.8,81
1124,25.3,37.2,94
1125,4.1,29.5,39
1126,-3.4,9.4,98
1127,-3.4,42.7,83
1128,9.2,11.2,94
1129,-3.9,36.1,41
1130,18.9,27.1,80
1131,-0.5,40.5,56
1132,17.6,5.3,72
1133,12.6,41.4,40
1134,2.2,12.1,99
1135,18.6,42.8,91
1136,25.5,18.0,66
1137,13.2,39.1,85
1138,-0.5,29.1,32
1139,32.6,32.8,92
