temperature,rainfall,humidity
35.7,165.6,80
-8.5,143.3,56
-6.2,10.3,62
6.6,186.4,47
22.8,54.9,35
23.8,147.5,86
30.4,23.8,54
6.6,73.9,32
13.3,108.7,32
4.7,175.4,74
14.4,116.9,66
-4.5,79.0,68
-5.4,183.5,81
6.4,147.1,97
5.1,36.0,42
38.1,28.3,41
3.2,145.7,49
22.9,8.9,27
11.7,122.4,76
39.0,143.1,28
36.4,51.2,48
4.4,30.7,24
11.7,132.1,95
26.1,188.1,62
37.1,173.4,86
35.9,191.5,26
10.8,182.1,76
18.9,9.6,80
5.7,78.0,69
3.2,90.9,54
-6.6,50.1,30
21.3,110.2,56
38.4,101.6,50
-4.8,109.7,92
-2.4,137.8,70
14.8,96.9,41
-1.4,93.3,63
12.9,120.1,76
23.7,153.1,99
-5.7,130.7,69
33.3,131.3,29
22.2,97.4,92
23.1,141.7,38
-5.1,6.7,66
29.9,149.7,66
17.0,159.0,43
20.7,74.8,39
13.5,39.8,94
28.3,112.4,34
-9.0,184.1,93
3.5,168.4,64
-5.7,16.4,29
15.8,83.7,83
29.3,78.2,77
30.0,52.6,61
12.5,180.1,59
12.2,30.2,55
35.3,54.7,44
32.9,1.4,49
2.8,9.4,59
-3.5,38.2,43
18.0,88.8,32
39.9,75.9,84
25.0,130.2,93
14.1,182.1,70
34.6,85.0,30
31.5,66.3,29
-5.5,186.9,89
12.4,79.0,86
-2.6,152.1,82
-8.7,146.8,51
22.3,79.7,56
14.3,45.7,48
4.8,18.0,43
30.2,68.2,66
21.7,159.2,35
10.5,25.5,88
30.3,114.5,40
13.8,68.6,98
9.8,28.9,59
6.7,91.0,85
-7.7,188.1,36
31.7,180.7,96
26.6,16.2,88
1.2,154.9,76
-0.4,4.9,50
-8.9,12.6,92
19.7,180.1,31
21.1,69.0,44
2.6,139.5,59
14.9,50.3,35
27.6,174.4,30
16.1,185.0,30
39.4,155.6,78
10.9,26.7,65
-8.8,153.3,23
6.1,62.5,82
15.7,25.7,81
23.8,31.8,26
27.7,85.0,93
28.1,139.8,75
31.0,189.6,98
15.0,144.1,63
29.5,35.9,29
5.2,184.9,41
13.8,191.8,69
39.3,2.2,84
-0.1,173.6,97
31.7,134.9,67
-5.6,185.2,45
17.1,199.2,77
18.1,44.7,100
14.5,0.3,33
27.3,137.0,97
-7.6,192.0,33
0.5,58.2,93
9.4,119.8,95
30.0,190.0,52
9.2,99.1,99
32.9,198.7,58
31.8,197.1,94
-7.5,32.1,54
-9.2,86.9,22
-0.6,74.0,89
-3.2,62.1,51
-1.0,74.2,21
34.5,4.3,48
22.5,135.9,91
32.5,124.8,90
5.5,57.3,22
14.3,191.6,26
-4.1,166.7,32
31.0,98.6,84
24.5,101.6,23
0.5,50.1,63
2.5,81.4,96
35.6,92.1,60
4.3,119.8,82
-2.4,105.7,22
24.5,24.1,56
38.8,194.7,94
-6.3,21.3,76
25.8,199.4,46
11.9,168.3,47
-7.5,94.9,91
13.3,183.7,30
17.8,7.9,54
34.4,145.0,25
27.8,143.8,30
-9.3,1.3,32
13.1,77.7,54
34.5,108.2,53
6.2,183.7,43
0.5,40.2,71
-0.6,25.8,93
10.6,107.9,73
25.8,132.0,26
-2.6,3.4,80
22.4,70.7,94
-1.1,126.0,41
-0.4,179.7,96
8.8,47.4,63
1.3,13.0,90
10.0,17.2,79
9.9,1.9,87
35.7,190.9,57
34.8,15.8,32
13.0,40.6,85
28.4,187.4,57
33.2,109.6,83
1.2,72.6,72
-0.1,50.6,71
-2.4,156.9,71
38.3,125.3,43
15.2,64.3,75
-2.2,142.0,78
38.9,145.2,83
15.2,182.0,54
19.9,196.0,96
0.1,19.2,30
30.4,87.0,33
29.6,103.6,43
-3.5,164.2,30
32.3,59.1,68
24.1,189.5,23
-7.5,5.5,24
20.4,47.4,76
-0.9,89.9,90
20.8,93.0,32
0.8,118.8,74
14.5,154.4,78
4.8,187.1,57
-5.6,162.2,55
38.7,20.9,81
27.7,137.8,21
21.3,50.9,94
29.0,181.7,99
3.8,190.2,86
30.5,126.4,67
32.0,178.1,71
5.9,195.3,46
4.5,117.0,53
31.0,86.5,85
-3.8,124.3,73
12.0,106.1,38
-7.6,87.1,74
2.2,162.4,83
14.8,2.4,34
9.7,165.8,79
-7.0,29.8,56
-1.7,55.0,39
3.1,26.9,59
10.9,97.4,53
-1.3,126.5,96
35.1,143.2,74
14.1,75.0,89
11.7,36.5,37
-5.1,113.0,68
-5.3,23.7,99
2.3,154.1,97
24.2,60.9,100
-0.9,129.0,28
20.0,151.3,26
27.8,108.0,58
22.4,183.0,67
6.9,174.6,26
8.9,6.8,81
-6.2,41.9,36
31.1,5.5,90
24.9,149.4,31
2.8,121.3,93
38.3,69.0,96
24.2,36.4,70
34.8,140.3,52
11.2,56.1,30
20.5,100.5,57
20.1,141.0,25
20.1,44.2,59
-1.3,47.4,71
31.0,42.8,32
1.9,126.7,94
18.0,173.5,90
35.1,37.7,50
-0.6,56.8,73
26.6,170.0,93
17.4,122.1,78
38.4,76.9,61
4.2,110.4,42
18.6,46.2,36
34.0,66.9,66
14.3,97.7,53
1.6,189.8,63
-4.9,67.6,68
11.1,16.2,88
14.5,13.9,27
16.0,108.7,52
6.9,41.1,81
16.4,184.7,51
24.4,73.2,99
23.1,14.8,28
7.1,174.8,55
37.3,145.1,82
6.3,47.7,47
30.9,52.4,78
28.1,73.2,21
10.0,164.5,83
8.0,114.4,75
-8.9,104.3,54
34.6,129.7,29
37.0,23.4,72
1.3,172.8,30
-0.9,112.4,79
28.2,66.9,57
20.2,55.1,23
29.9,120.5,47
23.8,46.0,66
0.5,24.2,43
13.1,14.8,61
35.8,58.6,21
30.3,3.1,84
25.9,191.3,35
25.1,115.8,67
26.2,44.9,51
-7.6,132.4,76
-2.4,197.7,87
33.6,54.1,44
-1.2,39.5,73
6.4,110.8,91
-6.3,14.0,27
-1.1,125.2,50
22.9,197.3,26
31.4,1.7,100
10.8,22.1,98
22.7,73.4,36
2.9,60.9,40
34.4,34.4,88
6.0,173.9,83
19.0,51.5,25
28.5,153.6,78
31.0,39.5,60
4.1,180.0,52
37.8,178.4,37
3.1,49.7,63
0.3,109.8,46
-0.9,195.4,53
24.9,175.1,49
32.5,66.2,23
-3.3,60.1,98
21.9,49.4,82
36.3,177.8,99
26.6,116.9,59
33.5,10.7,28
22.3,137.5,77
1.2,32.3,38
36.3,192.5,26
32.4,41.9,99
23.7,117.0,90
0.1,148.2,74
21.2,161.8,52
33.1,153.5,83
21.1,107.6,39
0.6,123.4,28
-3.4,28.0,53
27.8,139.2,23
39.2,0.7,83
15.4,166.5,88
6.3,34.6,48
12.3,139.2,41
10.8,151.1,36
23.2,188.2,87
15.6,41.8,90
34.1,197.5,66
6.2,4.2,29
-3.5,173.5,88
6.7,29.3,45
4.7,11.4,78
-6.4,157.8,37
17.8,187.1,45
33.9,82.0,30
-7.9,177.9,46
23.4,146.2,71
9.6,61.8,52
32.9,0.8,23
39.9,16.6,20
20.4,188.0,71
-7.5,47.3,46
20.6,75.6,96
9.8,124.4,25
19.1,16.6,31
37.4,67.4,80
16.4,79.3,95
1.0,4.6,31
15.6,16.5,30
13.6,123.3,70
36.9,189.0,27
24.4,183.8,37
24.3,124.5,62
3.6,182.0,39
22.4,176.7,28
21.5,106.5,49
11.8,86.8,65
5.5,88.4,64
4.8,177.7,21
16.8,173.7,66
35.8,15.4,32
25.6,162.0,80
-0.7,176.3,76
28.8,42.4,20
-4.9,41.8,70
-5.4,85.9,72
30.1,83.3,35
13.9,4.8,22
24.2,171.2,56
34.9,163.9,100
16.1,177.9,61
10.1,76.1,95
20.1,43.2,89
33.1,12.5,20
39.6,48.9,46
2.4,112.8,63
3.9,102.4,61
16.0,68.2,78
24.8,58.8,45
-0.1,175.4,69
28.3,31.7,71
35.8,15.5,39
-0.1,33.6,82
33.8,38.5,26
5.8,83.0,88
29.4,99.2,86
25.2,95.9,29
12.2,81.8,36
-2.1,31.3,98
5.6,54.5,62
29.2,155.5,73
0.5,38.7,24
23.3,174.7,39
34.1,122.8,80
0.2,95.8,52
2.9,178.8,30
11.2,88.9,45
-1.5,9.5,65
6.5,57.9,29
-0.1,191.2,35
16.2,2.5,82
9.6,44.9,58
12.7,130.9,73
11.1,151.9,46
-2.7,94.4,51
-1.1,178.2,82
16.4,86.4,95
-1.8,63.4,55
-2.4,19.6,83
24.9,156.4,27
25.3,92.0,57
20.6,116.8,24
34.4,142.3,98
19.3,103.6,33
8.5,41.7,34
3.4,124.5,41
11.1,99.2,98
12.6,42.7,44
32.4,196.9,29
-4.7,63.9,88
4.8,5.7,76
-1.5,174.8,60
20.4,65.8,89
35.0,71.1,87
36.8,40.7,73
26.9,146.5,45
29.6,30.1,81
14.0,144.6,36
-8.2,174.6,42
10.9,6.9,21
28.3,102.8,76
5.7,91.7,32
22.6,199.1,32
38.3,128.6,100
27.8,105.3,68
-7.3,177.5,80
8.5,54.2,30
3.3,191.0,85
34.7,22.2,30
1.6,186.2,79
23.9,78.6,49
8.9,127.0,64
29.2,89.7,63
6.5,164.5,21
1.9,146.9,56
23.9,92.6,51
32.2,184.7,47
24.4,146.5,51
38.2,120.3,53
24.3,73.4,97
2.6,173.5,28
15.3,178.6,90
32.6,78.9,85
32.9,18.3,97
2.5,68.1,42
18.2,140.8,59
20.8,131.2,79
8.3,75.8,65
-6.7,98.6,100
24.9,185.8,85
18.1,68.3,60
7.6,132.0,51
14.6,47.3,89
-0.2,183.1,66
20.4,114.7,96
-5.0,99.7,54
-4.1,52.2,20
18.3,137.1,25
2.5,81.8,85
-3.8,135.2,21
23.8,64.4,91
3.0,151.6,85
10.7,180.1,87
-4.6,21.9,61
23.3,11.9,89
9.1,58.5,64
-5.8,41.3,43
12.2,114.7,23
35.9,117.8,61
13.3,150.1,67
